Context,Text response,,,,,,,
Apa bedane bumbu sate Padang karo sate biasa?,"Sate biasane mung nggunakake sambel kacang, kecap lan irisan bawang bombay. Dene kanggo sate Padang mung ana bumbune siji, yaiku kuah kuning sing digawe saka glepung beras dicampur kaldu daging lan jeroan, kunir, jahe, bawang putih, ketumbar, lengkuas, jinten putih, bubuk kari lan uyah.",,,,,,,
Kepriye teksture sega ing tlatah Padang beda karo sega ing Jawa?,"Wonten ing tlatah Padang, sekul menika kathah rembesipun tinimbang sekul empuk ing Jawi.",,,,,,,
Kepriye teksture daging rendang sing wis dimasak kanthi sampurna nalika dikunyah?,Tekstur daging rendang sing wis dimasak kanthi sampurna iku alus nalika dikunyah.,,,,,,,
Apa pengaruhe rega sega Padang yen dibarengi sambel cabe abang?,"Sega Padang umume disedhiyakake karo sambal ijo, nanging sega Padang sing disajikake karo sambel abang biasane luwih larang.",,,,,,,
Apa sing ndadekake gudeg dadi cara nglestarekake panganan saka jaman biyen?,"Gudeg kuwi dudu panganan sing seger, gudeg yaiku cara kanggo nglestarekake panganan saka jaman biyen, kaya rendang saengga tahan nganti pirang-pirang dina.",,,,,,,
Apa sing mbedakake mie Aceh karo mi goreng jawa saka segi bahan lan teksture?,"Mie Aceh ora kaya mie goreng Jawa sing nggunakake mie kuning tipis, Mie Aceh nggunakake mie kuning kenthel kanthi macem-macem rempah-rempah lan potongan daging utawa panganan laut kayata udang utawa kepiting.",,,,,,,
Kepiye durian fermentasi digunakake ing masakan khas Jambi?,"Ana panganan khas Jambi sing nggunakake durian fermentasi minangka bahan pelengkap masakan lele, yaiku tempoyak.",,,,,,,
"Kenging punapa dhaharan khas Kepulauan Riau dipunsebat ""mi lendir""?",Mie lendir bisa uga rada aneh kanggo kita sing ora kenal karo panganan khas Kepulauan Riau iki.,,,,,,,
Apa bedane nggunakake serundeng nalika nggawe lan ngladeni kulit endhog?,"Kulit endhog nduweni 2 bahan sing padha digawe saka klapa, yaiku serundeng nanging digunakake ing wektu sing beda, yaiku nalika masak lan ngladeni.",,,,,,,
Kepiye carane Jagung Bose diolah minangka panganan khas Nusa Tenggara Timur?,"Ing tlatah Nusa Tenggara Timur, jagung misuwur banget minangka panganan pengganti sega, salah sijine panganan khas yaiku Jagung Bose sing dimasak nganggo kacang abang utawa kacang lan santen nganti dadi bubur.",,,,,,,
"Apa sing ndadekake gado-gado cocok kanggo wong sing seneng panganan sehat, lan apa bahan sing digunakake ing saus kacang?","Jajan gado-gado seger banget lan cocok kanggo wong sing seneng panganan sehat kanthi campuran sayuran lan saus kacang, nggawe rasane luwih enak.",,,,,,,
Apa sebabe papeda diajeni banget karo wong asli Papua?,"Masyarakat Papua nganggep papeda minangka panganan sing diajeni amarga kuliner khas iki digawe saka sagu amarga miturut wong asli Papua, sagu dipercaya minangka inkarnasi manungsa.",,,,,,,
Kapan wektu sing pas kanggo nyedhiyakake rawon?,Jajanan rawon biasane disuguhake nalika ana acara gedhe kayata mantenan,,,,,,,
Apa cemilan paling apik kanggo mangan ing pantai?,Jagung bakar sampurna minangka cemilan sing enak kanggo dinikmati ing pantai.,,,,,,,
Apa panganan jajanan khas Yogyakarta?,Bakpia Pathok ya iku panganan jajanan khas Yogyakarta sing isiné kacang ijo.,,,,,,,
Apa sing ndadekake ketupat minangka representasi budaya lokal Indonesia?,"Ketupat minangka salah sawijining kuliner khas Indonesia. Mula, salah sawijining buku teks ngandharake ketupat minangka conto panganan sing nggambarake budaya lokal Indonesia.",,,,,,,
Apa sing ndadekke Nasi Padang dadi populer ing kalangan masyarakat Indonesia?,Unsur sega minangka panganan pokok lan lawuh kang sugih rempah-rempah ndadekake Nasi Padang populer ing kalangan masyarakat Indonesia.,,,,,,,
Menapa tegesipun nama sekul tumpeng lan menapa tegesipun tembung pitu ing basa Jawi?,"Jenenge sega tumpeng iku singkatan saka 'yen metu kudu mempeng' utawa yen metu kudu semangat. Lauk tumpeng ana pitu, ing basa Jawa tegese pitu, tembung pitu iku pitulungan utawa pitulungan.",,,,,,,
"Saka ngendi asale jeneng ""es cendol"" lan kenapa diarani ""gumpalan""?",Jeneng es cendol dhewe asale saka jendol kang tegese bongkahan. Nggambarake rasane mangan isi dawet kental. Dene ing wedang Dawet Ayu ana lambang Semar lan Gareng kang nduweni teges pangarep-arep supaya dagangane bisa laris.,,,,,,,
"Apa ciri khas Soto Ayam Surabaya, mligine saka segi kuah?","Ciri sing mbedakake Soto Ayam Surabaya karo liyane yaiku kuah sing wernane kuning peteng amarga nganggo kunir. Sup ayam iki biasane isine daging, jeroan, kulit, brutu, endhog, bihun lan dicampur beras.",,,,,,,
Apa bedane Soto Banjar karo soto saka daerah liyane?,"Beda karo panganan soto ing dhaerah liya, Soto Banjar nggunakake rempah-rempah kayata kayu manis, pala lan cengkeh ditambah susu sithik saengga panganan iki sugih rasa khas Indonesia.",,,,,,,
Iwak Bakar Manokwari apa sing beda karo iwak bakar biasa?,Iwak Bakar Manokwari beda karo jinis iwak bakar umume. Iwak iki dibakar dhewe-dhewe banjur dibumboni saos cabe sing digiling kasar. Rasane iwak Bakar Manokwari pedhes lan seger.,,,,,,,
"Apa sing ndadekake Sambal Seruit populer ing Lampung, lan apa sing cocog?",Ing Lampung ana sambel cabe sing misuwur kanthi jeneng Sambal Seruit sing cocok dimasak karo iwak gurame bakar utawa goreng.,,,,,,,
"Kepiye cara nyiapake karedok khas Bandung, lan apa sing enak dipangan?",Karedok utawa salad sayur khas Bandung digawe saka campuran sayuran mentah lan saos kacang. Panganan iki enak banget yen dicampur karo sega utawa lontong.,,,,,,,
Apa bedane Pedesan Entog Indramayu karo gulai umume?,"Pedesan Entog Indramayu, panganan iki padha karo kari umume. Nanging bahan utama dudu iwak, pitik utawa daging sapi nanging entog. Entog menika jinisipun bebek, namung wujud endhas ingkang beda.",,,,,,,
"Piye rasane otak-otak, lan apa sing paling apik kanggo nyiyapake?",Otak-otak nduweni rasa gurih lan cocok disajikake karo sambel kacang.,,,,,,,
Asal-usul panganan seblak lan apa sing dadi populer ing macem-macem papan?,"Saiki, seblak wis dadi salah siji panganan enak kontemporer sing kerep ditemokake ing macem-macem panggonan, saka gang cilik nganti food court. Panganan kang rasane gurih lan pedhes iki asale saka Parahyangan, Jawa Barat.",,,,,,,
"Apa sing menehi goulash warna kuning sing nyenengake, lan apa sing biasane disiapake goulash?","Goulash nduweni saus kuning sing nyenengake. Jinis bahan sing digunakake kanggo nyiyapake kari beda-beda, saka iwak, pitik, wedhus, daging sapi, lan uga endhog.",,,,,,,
"Apa sing menehi sega uduk rasa khusus, lan apa bahan utama?","Kanthi masak sega nggunakake santen, sereh lan rempah-rempah, sega uduk bakal menehi rasa sing khas lan ora bisa dilalekake.",,,,,,,
Gatot sing dituku kancamu saka bahan apa?,Gatot digawe nganggo singkong sing diiris cilik banjur digodhog lan dipangan nganggo gula.,,,,,,,
Bahan cenil sing didol bakul saka apa?,Cenil digawe saka pati sing bentuke bunder kanthi warna sing maneka warna.,,,,,,,
apa kowe ngerti porsi indomie ing toko iki?,porsi indomiene akeh banget,,,,,,,
pira butir bakso kang kowe oleh karo rega 10k?,ing warung s ngolehake 10 butir bakso,,,,,,,
arep ing apakake daging kurbane wingi?,daging kurbane arep digawe rendang,,,,,,,
kowe ngerti ora priye raos kopi ditoko iku?,kopi ing warung s rasane pekat lan enak,,,,,,,
apa kowe nduwe saran sate jaran kang sekeca?,"diwarung s, sate jarane rasane enak",,,,,,,
Nasi Gudeg iku manganan apa?,"Nasi Gudeg iku olahan khas Yogyakarta lan Jawa Tengah. Gudeg dadi nangka muda sing dimasak karo santan lan rempah-rempah, sering disajikan karo ayam, telur, lan sambel krecek.",,,,,,,
Soto Ayam iku manganan apa?,"Soto Ayam iku sup ayam kang enak karo kuah kuning sing kental, biasane disajikake karo nasi lan hiasan bawang goreng lan daun selada.",,,,,,,
"Cara nggawe Tempeh lan tahu goreng, panganan populer ing Jawa, piyambaké kaya gimana?",Tempeh lan tahu goreng iku olahan kang populer ing Jawa. Tempeh lan tahu digoreng endhek endhek lan sering disajikake karo sambel kecap.,,,,,,,
"Cara nggawe Nasi Liwet, masakan khas Jawa Tengah, piyambaké kaya gimana?","Panganan khas Jawa Tengah iku Nasi Liwet. Nasi iki dimasak karo santan, daun salam, lan rempah-rempah, terus disajikake karo lauk, kaya ayam utawa iwak.",,,,,,,
"Apa sing jadi bahan utama ing pembuatan Gethuk Lindri, panganan penutup tradisional saka Jawa Tengah?","Gethuk Lindri iku panganan manis saka singkong, gula merah, lan kelapa parut. Rasane manis lan enak.",,,,,,,
"Apa saus sing digunakake ing Rujak Cingur, panganan tradisional Jawa Timur?","Rujak Cingur iku salad tradisional Jawa Timur sing duwé potongan mentimun, tauge, tempeh, lan tahu, disiram karo sambel kacang lan bumbu khas Jawa Timur.",,,,,,,
"Apa sing nggawe Rawon, panganan saka Surabaya, duwé rasa sing kaya lan gurih?",Rawon iku sup daging sapi sing abang sing khas saka Surabaya. Rasane banget enak lan wewangian amarga nganggo bumbu keluwek.,,,,,,,
Apa sing jadi ciri khas saka masakan Tahu Campur Jawa Timur?,Tahu Campur iku panganan saka tahu lan sayuran sing disiram karo sambel kacang lan bumbu khas Jawa Timur.,,,,,,,
"Carane nggawe Es Dawet, minuman segar saka Jawa Tengah?","Es Dawet iku minuman segar saka Jawa Tengah. Dadi agar-agar ijo, santan, gula merah, lan es. Biasane disajikake karo campuran tepung beras abang.",,,,,,,
Apa sing nggawe Jamu minuman herbal tradisional kang penting ing Indonesia?,Jamu iku minuman herbal tradisional Indonesia sing sering disedhiyakake kanggo kesehatan lan penyembuhan. Macem-macem jamu bisa ditemokaké ing Jawa.,,,,,,,
Apa bakso malang lan bakso solo padha?,"Sanajan bakso, bakso malang lan bakso bakso solo duwe ciri dhewe",,,,,,,
"Aku seneng salad, nanging ana varian Indonesia?","Yen ana ing luar negeri diarani salad, ing Indonesia ana perkara kaya rujak",,,,,,,
Apa Indonesia duwe panganan kaya Sushi?,"Ing Jepang ana Sushi, nanging Indonesia duwe Lemper karo kawicaksanan lokal",,,,,,,
Apa ana panganan liyane sing paling apik sing dituku siswa?,"Geprek pitik uga misale jek panganan sing paling laris, sanajan pitik ora diremehake",,,,,,,
Napa ana akeh cabang lalapan Purnama ing kene?,"Lalapan Purnama minangka sayuran nyata saka Surabaya, nanging bisa uga ing wilayah liyane",,,,,,,
Apa sing kudu dak lakoni nalika teka ing Madiun mengko?,Nggawa Brem sing dadi cemilan khas Madiun nanging enak lan lebur ing ilat,,,,,,,
"Bakpao iki enak, nanging apa persis Bakpao iki?","Bun asli ngemot daging babi, nanging ing Indonesia buns ngemot pitik menyang coklat",,,,,,,
"Apa sing ndadekake ""Jamu"" apik kanggo kesehatan?",Jamu iku apik kanggo kesehatan amarga digawe saka campuran bahan alami sing nduweni potensi kesehatan,,,,,,,
"Kapan wektu sing pas kanggo ngombe ""Jamu""?","Jamu bisa dijupuk sawayah-wayah, gumantung saka jinis jamu lan tujuan ngonsumsi",,,,,,,
"Apa kita bisa nggawe ""Jamu"" dhewe?","Kita bisa nggawe ""Jamu"" dhewe ing omah nggunakake bahan-bahan sing seger lan aman",,,,,,,
"Ing endi kita bisa njaluk ""jamu""?","Kita bisa nemokake jamu ing Indonesia, amarga jamu minangka salah sawijining minuman sing populer ing Indonesia",,,,,,,
"Sapa sing bisa ngombe ""Jamu""?","Umume, meh kabeh wong bisa ngombe jamu, amarga digawe saka bahan alami",,,,,,,
"Apa iku ""nasi kuning""?",Nasi kuning ya iku panganan sega kuning lan minangka panganan tradhisional Indonésia,,,,,,,
"Nalika ""nasi kuning"" disuguhake?","“Sega kuning” biasane disuguhake ing acara-acara khusus, kayata upacara adat lan pahargyan.",,,,,,,
"Bumbu apa sing nggawe ""sega kuning"" dadi kuning?",Bumbu kang njalari “beras kuning” dadi kuning yaiku kunir,,,,,,,
"Kepiye ""sega kuning"" disedhiyakake?",“Sega kuning” biasanipun dipunsajikaken awujud “tumpeng” utawi tumpeng,,,,,,,
"Apa lawuh kanggo ""sega kuning""?","Jajanan iringane ""nasi kuning"" biasane yaiku ayam goreng, endhog balado, sambal, lan liya-liyane.",,,,,,,
Apa sing dimaksud tempe?,Tempe iku panganan khas Indonesia sing digawe saka kacang kedelai sing difermentasi,,,,,,,
"Kepiye rasa lan teksture ""tempe""?","Tempe nduweni rasa gurih, khas, rada aromatik lan tekstur sing padhet",,,,,,,
"Kepiye carane ""tempe"" disuguhake?",Tempe asring dadi lawuh pelengkap kanggo bahan dhasar ing masakan utama,,,,,,,
"kepiye protein ing ""tempe""?","Kandhutan protein ing ""tempe"" dhuwur banget nganti asring digunakake minangka pengganti daging",,,,,,,
ing ngendi tempe misuwur?,Tempe misuwur banget ing Indonesia lan wis nyebar menyang macem-macem wilayah,,,,,,,
"Apa bahan utama ""lemper""?","Bahan utama ""lemper"" yaiku ketan putih sing diolah dadi adonan ketan lan lembut.",,,,,,,
"Apa isine ""lemper""?",Lemper bisa diisi karo daging pitik sing wis dimasak kanthi bumbu khusus.,,,,,,,
Apa gunane bungkus “lemper”?,"Bungkus ing ""lemper"" bisa menehi aroma sing khas lan nglindhungi lemper nalika proses masak",,,,,,,
"Kepiye proses masak ""lemper""?",Lemper biasane dimasak kanthi cara dikukus sing ndadekake ketan luwih alus lan daginge luwih angel,,,,,,,
"Kepiye biasane ""lemper"" disedhiyakake?",Lemper asring disedhiyakake minangka cemilan utawa sajian entheng lan populer banget ing acara khusus,,,,,,,
"Apa kue ""putu"" iku?","Kue ""putu"" ya iku jajanan tradhisional Indonésia kang misuwur ing pulo Jawa",,,,,,,
"Apa bahan kanggo kue ""putu""?","Kue ""putu"" digawe saka glepung beras lan diisi gula klapa",,,,,,,
"Carane masak kue ""putu""?","Kue ""putu"" dikukus ing wadhah pring utawa cetakan khusus nganti mateng.",,,,,,,
"Apa ciri-cirine kue ""putu"" yen wis dimasak?","Nalika kue ""putu"" wis masak, wernane putih transparan lan teksture alus lan kenyal",,,,,,,
"Carane jajan ""putu"" disedhiyakake?",“Kue putu asring disuguhake karo taburan klapa parut minangka lapisan njaba,,,,,,,
"Ing endi kita bisa nemokake jajan ""putu""?","Jajan ""putu"" bisa ditemokake ing kios-kios pinggir jalan, pasar tradisional, lan ing acara pahargyan utawa pesta",,,,,,,
"Apa iku ""Putu Mayang""?","putu mayang yaiku panganan cuci mulut sing asale saka Indonesia, utamane Jawa",,,,,,,
"Apa bahan kanggo nggawe ""putu mayang""?",putu mayang digawe saka beras ketan sing diwarnai nganggo pewarna alami,,,,,,,
Kepriye rasa lan teksture “putu mayang”?,putu mayang nduweni rasa manis lan tekstur kenyal kanthi aroma sing wangi,,,,,,,
"Apa iku panganan ""Combro""?",Combro sejatine asale saka Jawa Kulon sing ngemot oncom lan digawe saka sampel,,,,,,,
"Apa ana artine ing cemilan ""Combro""?","sejatine ""Combro"" duwe arti ""Oncom ing Jero"" utawa Oncom ing njero",,,,,,,
"Apa ana jinis ""Combro"" ing wilayah liyane?","Ing Banjarnegara, Combro wis diowahi supaya wis tuseren tinimbang ora ana gandhengane",,,,,,,
"Apa bisa mangan ""Combro"" nalika kadhemen?",Combro luwih becik mangan nalika panas,,,,,,,
"Apa teksture ""Keripik Tombro""?",Kripik Tombro duwe tekstur crispy lan hard nalika dipangan,,,,,,,
Apa ana cemilan tradisional saka Malang?,"Kue ""Putu"" minangka cemilan tradisional Malang kanthi ngisi gula coklat",,,,,,,
"Digawe saka bahan apa, jajan Putu?","Kue ""Putu"" digawe saka glepung beras, gula coklat, lan klapa parut",,,,,,,
Apa rasa ketan bubuk?,"Wêdakakêna Sikil duwe gurih, asin, lan rasa manis amarga asale saka nasi glutinous",,,,,,,
Apa ana jajanan tradisional sing duwe makna ing njero?,Jenang Abang minangka salah sawijining panganan tradisional kanthi makna sing ana ing njero,,,,,,,
"Apa tegese ing ""Jenang Abang""?","Ngrasa lan njaluk donga resensi yaiku makna sing ana ing ""Jenang Abang""",,,,,,,
"Apa ana panganan sing padha karo ""Putu Mayang"" ing Jawa Timur?","Ing Jawa Kulon Ana ""Putu Mayang"", ing Jawa Timur ana sing diarani ""Petulo""",,,,,,,
"Apa ana bedane ""Putu Mayang"" lan ""Petulo""?","Petulo bentuk kaya roller rambut beda karo ""Putu Mayang""",,,,,,,
"Kepiye presentasi ""Petulo""?",Petulo biasane disuguhake pancake lan saos susu klapa,,,,,,,
"Apa ""Petulo"" kudu nyoba amarga katon ringkes?","Sanajan prasaja, ""Petulo Serabi"" minangka cemilan tradisional sing sugih",,,,,,,
"Apa bentuk lan rasa ""thende-onde""?",Onde-Onde bunder kanthi nyepetake wijen lan kacang ijo manis,,,,,,,
"Saka endi ""Onde-Onde"" asale saka?","Asli ""Onde-Onde"" yaiku China sing mengko wis ngalami adaptasi ing Indonesia",,,,,,,
"Digawe saka ""Brittle""?",Getas digawe saka sampeva parut banjur digoreng lan disiram karo gula,,,,,,,
"Kepiye teksture ""Getas""?",Getas duwe tekstur crispy lan rasa manis,,,,,,,
Cemilan sing kudu dituku ing wayah wengi?,Martabak biasane didol ing wayah wengi kanthi rega terjangkau lan bisa ngisi weteng,,,,,,,
Sega apa sing disenengi wong Indonesia?,Sega ingkang dipunremeni masarakat Indonesia inggih menika nasi Padang,,,,,,,
Cinderamata apa wae sing misuwur ing Jogja?,Suvenir sing misuwur ing Jogja yaiku bakpia pathok,,,,,,,
Apa bahan kanggo nggawe es cendol?,"Es cendol ya iku ombenan kang digawé saka cendol, santen lan gula abang",,,,,,,
Apa itu tumpeng?,Tumpengan minangka tradhisi wong Jawa kang ngaturake sega lan lawuh dibentuk gunung,,,,,,,
Saka ngendi asale sate lilit?,Sate lilit minangka panganan khas Bali,,,,,,,
Kepriye wujude kue putu ayu?,Jajan putu ayu biyasane wujude kembang lan warni-warni saengga katon endah,,,,,,,
Apa sing kedadeyan yen sampeyan ngonsumsi tapai ketan kakehan?,Yen akeh mangan tapai ketan ireng bisa nyebabake lara weteng,,,,,,,
Apa bahan dhasar saka jeli suket ijo?,Jeli suket ijo digawe saka godhong jeli suket ing Indonesia,,,,,,,
Piye rasane mie ayam?,Mie ayam biasane duwe rasa asin lan manis saka saus,,,,,,,
Panganan Indonesia apa sing asring digunakake kanggo sarapan?,Bubur ayam mujudake panganan kang asring dianggo sarapan,,,,,,,
Kenging punapa panganan Indonesia gadhah raos ingkang khas?,Panganan Indonesia nduweni rasa sing khas amarga akeh rempah-rempah,,,,,,,
Carane masak sate?,Cara masak sate yaiku kanthi cara dibakar nganggo areng,,,,,,,
Panganan jalanan apa sing populer banget ing Indonesia?,Salah sawijining panganan sing paling populer yaiku pangsit karo saus kacang,,,,,,,
Apa panganan manis sing misuwur ing Indonesia?,Salah sawijining panganan manis sing misuwur ing Indonesia yaiku es dawet,,,,,,,
Sekul apa sing biasane digunakake ing acara adat Indonesia?,Sega kuning inggih menika sekul ingkang dipunginakaken wonten ing acara adat Indonesia,,,,,,,
Bahan apa sing digunakake kanggo nggawe dawet?,nggawe dawet saka glepung beras karo santen minangka saos,,,,,,,
Apa pemanis tradisional sing akeh digunakake ing panganan tradisional Indonesia?,Pemanis tradisional sing akeh digunakake ing panganan tradisional Indonesia yaiku gula aren,,,,,,,
Sega campur khas apa sing umum dikenal masyarakat Indonesia?,Sega campur Bali wis dikenal masyarakat Indonesia,,,,,,,
Apa cinderamata khas Kota Batu?,Kutha Batu misuwur kanthi souvenir kripik apel,,,,,,,
Piye rasane kue putu?,Kue Putu rasane legi amarga ana gula aren,,,,,,,
Ombenan seger apa sing paling digoleki ing Indonesia?,Salah siji ombenan seger sing akeh digoleki yaiku es degan,,,,,,,
Piye rasane kue risol?,"Kue risol nduweni rasa gurih, asin lan kadhangkala pedhes",,,,,,,
Apa panganan favorit wong tuwa Indonesia?,Kacang rebus minangka panganan favorit kanggo wong tuwa Indonesia,,,,,,,
Kepriye disedhiyakake sega pecel?,Sega pecel disajikake karo sambel kacang lan sayuran minangka pelengkap,,,,,,,
Kenapa es doger biasane abang?,Es doger iku wedang abang amarga isine sirup cocopandan,,,,,,,
Kenapa saus rawon ireng?,Rawon nduweni sambel ireng amarga nganggo bumbu kluwak,,,,,,,
Opor ayam kok duwe sambel kuning?,Opor ayam nduweni sambel kuning amarga nganggo bumbu kunir,,,,,,,
Saka ngendi asale panganan pitik betutu?,Ayam betutu iku panganan khas Bali,,,,,,,
Kenapa kue pukis kenyang?,Kue pukis banget isine amarga digawe saka glepung ragi,,,,,,,
Saka ngendi asale panganan khusus otak-otak?,Otak-otak minangka panganan khas Kepulauan Riau,,,,,,,
Saka ngendi asale mie goyang?,Mie sing digawe goyang yaiku mie goyang khas Bandung,,,,,,,
Apa kue pancong?,Kue pancong ya iku panganan kang diparingi manéka warna topping ing ndhuwur,,,,,,,
Pitik Taliwang saka ngendi?,Salah sijine panganan sing digawe saka pitik saka Nusa Tenggara Barat yaiku pitik taliwang,,,,,,,
Apa panganan khas Indonesia sing wujude kaya gunung?,Panganan khas Indonesia sing wujude kaya gunung yaiku sega kuning,,,,,,,
Apa panganan khas Indonesia sing biasane disedhiyakake nalika preian kayata Idul Fitri?,Ketupat minangka panganan khas sing biasane disedhiyakake nalika liburan gedhe kayata Idul Fitri,,,,,,,
Apa bahan dhasar saka kolak pisang?,Minuman manis sing digawe saka gedhang yaiku kolak pisang,,,,,,,
Carane nggawe rendang sing enak?,"Kanggo nggawe rendang sing enak, sampeyan butuh daging sapi, santen, lan macem-macem rempah-rempah kayata sereh, godhong jeruk, lan cengkeh. Proses masak alon-alon, mula daging dadi empuk lan rempah-rempah diserap.",,,,,,,
Apa cemilan tradisional Indonesia sing populer?,"Jajanan tradisional Indonesia sing populer kalebu krupuk, lemper, bakwan, lan tahu isi.",,,,,,,
Kepiye cara nyiyapake nasi goreng?,"Sega goreng yaiku sega sing digoreng nganggo bumbu kayata kecap manis, bawang merah, bawang putih lan endhog. Biasane disuguhake karo irisan timun, tomat lan krupuk.",,,,,,,
Kepiye carane nikmati kopi Indonesia?,"Kopi Indonesia terkenal banget. Sampeyan bisa nikmati kopi khusus kayata kopi Aceh, kopi Toraja utawa kopi Bali. Bisa diseduh nganggo macem-macem cara, kayata diseduh, disaring, utawa espresso.",,,,,,,
Apa panganan manis Indonesia sing misuwur?,"Ana akeh panganan manis sing misuwur ing Indonesia, kayata es krim goreng, es cendol, klepon, lan gedhang goreng.",,,,,,,
Apa bedane sega goreng karo mie goreng?,"Sega goreng yaiku sega sing digoreng nganggo bumbu lan biasane isine potongan daging utawa panganan laut, dene mie goreng yaiku mie sing digoreng nganggo bumbu lan macem-macem bahan tambahan kayata endhog, sayuran lan daging.",,,,,,,
Bahan apa sing digunakake kanggo nggawe gudeg?,"Gudeg biasane digawe saka nangka enom sing dimasak ing santen kanthi macem-macem rempah-rempah kayata gula abang, godhong salam lan sereh.",,,,,,,
Apa wedang tradisional Jawa sing enak?,"Ombèn-ombèn tradisional Jawa sing énak antarané wedang jahe (jahe anget karo gula lan rempah-rempah), wedang ronde (ombenan manis sing diisi ketan ing saus jahe), lan es dawet (ombenan manis isi klapa parut, gelatin lan gula).",,,,,,,
Saka ngendi asale panganan Nasi Padang?,"Nasi Padang inggih menika sekul saking Sumatera Barat ingkang dipunsajiaken kanthi maneka warna lawuh kadosta rendang, ayam goreng, sambal balado, lan sanes-sanesipun.",,,,,,,
Kepiye carane nyiyapake soto?,"Soto yaiku soto pitik utawa daging sing disuguhake karo saus aromatik lan biasane ditambahake kayata endhog rebus, tauge lan bawang merah.",,,,,,,
Apa iku gado-gado?,"Gado-Gado minangka salad sayuran kanthi saus kacang. Biasane isine kentang, tahu, endhog rebus, kacang panjang lan kue beras.",,,,,,,
Kepiye pecel lele disedhiyakake?,"Pecel lele ya iku panganan lele sing digorèng karo sambel cabe lan sega, asring dibumboni sayuran kayata kangkung.",,,,,,,
Apa martabak?,"Martabak yaiku panganan cuci mulut utawa cemilan sing digawe saka adonan kenthel sing digoreng lan diisi macem-macem bahan kayata coklat, kacang, keju utawa daging.",,,,,,,
Saka ngendi asale kerak endhog?,"Kerak telor yaiku panganan khas Betawi sing digawe saka ketan, endhog, klapa parut lan rempah-rempah liyane sing dipanggang nganti garing.",,,,,,,
Apa sing mbedakake spesialis kulawarga Kuliner Indonesia saka kuliner negara liya?,Indonesia duwe macem-macem kuliner khas macem-macem wilayah sing nuduhake macem-macem budaya lan geografis negara iki.,,,,,,,
Apa panganan pokok ing Indonesia?,"Panganan pokok india yaiku beras, lan beras dipangan meh saben dinane minangka bagian saka sajian utama",,,,,,,
Apa sing nggawe Rendang dadi khusus lan saka wilayah kasebut?,"Rendang, masakan daging sapi sing dimasak ing susu klapa lan rempah-rempah, minangka salah sawijining panganan sing paling enak ing jagad iki lan asale saka Sumatra Kulon, Indonesia.",,,,,,,
Apa sajian satay lan apa sing populer ing Indonesia?,"Sate, sepotong daging sing dicepak lan panggang karo saus kacang, minangka cemilan sing populer ing Indonesia.",,,,,,,
Apa variasi soto ing Indonesia lan apa sing nggawe soto seneng?,"Soto, sup karo rempah-rempah -rich saus lan biasane dadi beras, minangka panganan sing disenengi ing Indonesia lan duwe macem-macem variasi regional",,,,,,,
Apa bahan kanggo nggawe herbal ing rendang?,"Godhong galangal, kunyit, lan oranye yaiku rempah-rempah sing digunakake ing rendang",,,,,,,
Napa panganan Padang sing dikenal minangka Rasa Pedhes?,PADANG panganan dikenal amarga rasa pedhes amarga panggunaan akeh lombok ing masak.,,,,,,,
Sapa sing nggawe panganan tradisional Indonesia?,Makanan tradisional Indonesia digawe dening para leluhur Indonesia,,,,,,,
Apa tampilan visual saka Soto Ayam?,Penampilan visual saka sup ayam biasane mangkuk sup kanthi potongan pitik lan sayuran.,,,,,,,
Apa bahan kanggo nggawe rendang?,"Daging sapi, sapi, lan rempah-rempah yaiku bahan kanggo nggawe rendang",,,,,,,
Apa sing nggawe mi goreng jahat menehi roso notaslgia?,"Mie goreng jawa disuguhake karo rempah-rempah sing khas ing toko lawas sing umure atus taun, menehi nostalgia lan nakalia sing unik",,,,,,,
Kepiye sampeyan masak ing Rendang supaya bisa nggawe sensasi rasa sing luar biasa?,"Rendang Padang masak karo rempah-rempah, nggawe sensasi rasa sing luar biasa",,,,,,,
Apa sing nggawe nasi goreng panganan laut supaya nyenengake?,"Nasi goreng laut sing disuguhake karo saus pedhes lan seger ing pantai ing wayah wengi, nggawe pengalaman mangan sing apik banget",,,,,,,
Sapa sing nggawe panganan Rendang?,Rendang digawe dening komunitas Minangkabau ing Indonesia.,,,,,,,
Kepiye sampeyan masak rendang nganti alus lan wangi?,"Rendang Padang dimasak nganti alus lan wangi ing pawon tradisional kanthi geni sing mbukak, menehi kesan mangan khusus",,,,,,,
Apa sing nggawe Rendang kanthi enak?,Delicacy rendang ana ing panggunaan rempah-rempah sing khas lan proses masak lawas.,,,,,,,
Sapa sing pertama nggawe saus chici?,Sambal wis ana wiwit jaman kuna ing Indonesia lan ora ana cathetan sing jelas sing nggawe,,,,,,,
Apa bedane nasi goreng lan mie goreng?,"Bentenane nasi goreng lan mie goreng dumunung ing bahan utama, ing ngendi beras goreng nggunakake nasi lan mi goreng nggunakake mie dhasar.",,,,,,,
Kepiye rasa padang?,PADANG FOOD duwe rasa sing sugih lan pedhes amarga panggunaan macem-macem jinis rempah-rempah lan lombi.,,,,,,,
Apa piring india tradisional?,"Dessert tradisional Indonesia kalebu es campuran, es Cendol, lan Klepon.",,,,,,,
Kepiye rasa campuran es?,Rasa es campuran es umume manis lan nyegerake.,,,,,,,
